Project,Duration (in minutes),Start date,End date
Learning,31.88333333,2023-03-04 16:11,2023-03-04 16:43
Work,16.85,2023-03-03 16:03,2023-03-03 16:19
Work,27.26666667,2023-03-03 14:34,2023-03-03 15:01
Work,25.51666667,2023-03-03 13:54,2023-03-03 14:19
Work,17.01666667,2023-03-03 09:56,2023-03-03 10:13
Work,8.55,2023-03-03 09:12,2023-03-03 09:20
Learning,30.51666667,2023-03-02 19:09,2023-03-02 19:40
Learning,27.21666667,2023-03-02 18:13,2023-03-02 18:41
Work,37.23333333,2023-03-02 17:11,2023-03-02 17:48
Work,25.55,2023-03-02 16:36,2023-03-02 17:01
Work,18.13333333,2023-03-02 12:44,2023-03-02 13:02
Work,7.466666667,2023-03-02 10:24,2023-03-02 10:32
Learning,30.98333333,2023-03-01 20:13,2023-03-01 20:44
Learning,29.81666667,2023-03-01 18:19,2023-03-01 18:48
Work,25.26666667,2023-03-01 17:06,2023-03-01 17:31
Work,27.18333333,2023-03-01 16:18,2023-03-01 16:45
Work,26.18333333,2023-03-01 15:39,2023-03-01 16:05
Work,11.6,2023-03-01 14:33,2023-03-01 14:45
Work,32.13333333,2023-03-01 12:18,2023-03-01 12:50
Work,29.95,2023-03-01 11:40,2023-03-01 12:10
Work,37.15,2023-03-01 10:02,2023-03-01 10:39
Learning,25.88333333,2023-02-28 20:20,2023-02-28 20:46
Learning,27.13333333,2023-02-28 19:18,2023-02-28 19:45
Work,23.31666667,2023-02-28 16:40,2023-02-28 17:03
Work,26.63333333,2023-02-28 15:42,2023-02-28 16:09
Work,13.51666667,2023-02-28 15:06,2023-02-28 15:19
Work,26.46666667,2023-02-28 14:26,2023-02-28 14:52
Work,25.58333333,2023-02-28 13:37,2023-02-28 14:02
Work,31.35,2023-02-28 12:26,2023-02-28 12:57
Work,26.3,2023-02-28 11:32,2023-02-28 11:58
Work,32.11666667,2023-02-28 10:26,2023-02-28 10:58
Work,20.93333333,2023-02-27 16:42,2023-02-27 17:03
Work,28.58333333,2023-02-27 15:50,2023-02-27 16:19
Work,29.16666667,2023-02-27 14:09,2023-02-27 14:38
Work,27.78333333,2023-02-27 13:23,2023-02-27 13:51
Work,16.36666667,2023-02-27 12:14,2023-02-27 12:30
Work,25.28333333,2023-02-27 11:30,2023-02-27 11:55
Learning,26.43333333,2023-02-25 15:34,2023-02-25 16:00
Work,42.7,2023-02-24 15:18,2023-02-24 16:05
Work,40.96666667,2023-02-24 13:49,2023-02-24 14:30
Work,11.8,2023-02-24 11:37,2023-02-24 11:49
Work,14.13333333,2023-02-24 10:30,2023-02-24 10:44
Work,28.45,2023-02-24 08:49,2023-02-24 09:21
Learning,27.7,2023-02-23 20:01,2023-02-23 20:29
Learning,28.36666667,2023-02-23 19:27,2023-02-23 19:56
Work,27.93333333,2023-02-23 17:07,2023-02-23 17:35
Work,25.73333333,2023-02-23 16:19,2023-02-23 16:45
Work,28.18333333,2023-02-23 14:24,2023-02-23 14:58
Work,26.78333333,2023-02-23 13:39,2023-02-23 14:05
Work,15.05,2023-02-23 11:45,2023-02-23 12:00
Learning,30.55,2023-02-22 19:15,2023-02-22 19:45
Learning,25.33333333,2023-02-22 18:20,2023-02-22 18:45
Work,51.6,2023-02-22 16:17,2023-02-22 17:08
Work,22.11666667,2023-02-22 14:23,2023-02-22 14:46
Work,16.51666667,2023-02-22 13:22,2023-02-22 13:38
Learning,35,2023-02-22 09:34,2023-02-22 10:09
Learning,26.86666667,2023-02-21 19:20,2023-02-21 19:47
Learning,27.95,2023-02-21 18:45,2023-02-21 19:13
Work,25.78333333,2023-02-21 16:57,2023-02-21 17:23
Work,27.16666667,2023-02-21 15:39,2023-02-21 16:06
Work,25.6,2023-02-21 14:40,2023-02-21 15:06
Work,26.15,2023-02-21 13:26,2023-02-21 13:52
Work,36.25,2023-02-21 12:26,2023-02-21 13:02
Work,42.8,2023-02-21 11:08,2023-02-21 11:51
Work,8.666666667,2023-02-21 10:23,2023-02-21 10:31
Work,16.03333333,2023-02-21 09:03,2023-02-21 09:19
Learning,31.28333333,2023-02-20 20:37,2023-02-20 21:08
Learning,26.2,2023-02-20 19:10,2023-02-20 19:37
Work,36.18333333,2023-02-20 16:26,2023-02-20 17:03
Work,31.11666667,2023-02-20 15:15,2023-02-20 15:46
Work,25.66666667,2023-02-20 14:28,2023-02-20 14:54
Work,29.05,2023-02-20 13:20,2023-02-20 13:49
Work,35.5,2023-02-20 11:58,2023-02-20 12:34
Work,25.51666667,2023-02-20 09:56,2023-02-20 10:22
Work,11.81666667,2023-02-20 09:10,2023-02-20 09:21
Learning,46.95,2023-02-18 19:03,2023-02-18 19:50
Learning,29.43333333,2023-02-18 17:59,2023-02-18 18:28
Work,42.65,2023-02-17 14:59,2023-02-17 15:41
Work,27.63333333,2023-02-17 14:13,2023-02-17 14:40
Work,27.81666667,2023-02-17 10:59,2023-02-17 11:27
Work,27.78333333,2023-02-16 17:12,2023-02-16 17:40
Work,10.4,2023-02-16 14:49,2023-02-16 15:00
Work,32.76666667,2023-02-16 13:47,2023-02-16 14:20
Work,51.9,2023-02-16 11:19,2023-02-16 12:11
Work,4.333333333,2023-02-16 10:16,2023-02-16 10:21
Work,47.28333333,2023-02-16 08:34,2023-02-16 09:21
Work,19.91666667,2023-02-15 19:20,2023-02-15 19:40
Work,25.68333333,2023-02-15 17:40,2023-02-15 18:06
Work,32.96666667,2023-02-15 15:34,2023-02-15 16:07
Work,24.31666667,2023-02-15 14:20,2023-02-15 14:44
Work,26.05,2023-02-15 13:35,2023-02-15 14:01
Work,16.9,2023-02-15 12:19,2023-02-15 12:36
Work,15.6,2023-02-15 10:30,2023-02-15 10:46
Work,11.41666667,2023-02-15 09:53,2023-02-15 10:04
Work,17.6,2023-02-15 09:01,2023-02-15 09:19
Work,27.86666667,2023-02-15 08:27,2023-02-15 08:55
Work,40.26666667,2023-02-14 17:25,2023-02-14 18:05
Work,27.46666667,2023-02-14 16:42,2023-02-14 17:10
Work,25.88333333,2023-02-14 15:58,2023-02-14 16:24
Work,32.28333333,2023-02-14 15:13,2023-02-14 15:45
Work,30.86666667,2023-02-14 14:16,2023-02-14 14:47
Work,14.3,2023-02-14 11:45,2023-02-14 12:00
Work,26.98333333,2023-02-14 11:07,2023-02-14 11:34
Work,26.01666667,2023-02-14 09:38,2023-02-14 10:04
Work,7.983333333,2023-02-14 09:11,2023-02-14 09:19
Work,38.85,2023-02-13 15:51,2023-02-13 16:30
Work,33.81666667,2023-02-13 14:23,2023-02-13 14:57
Work,25.55,2023-02-13 13:05,2023-02-13 13:30
Work,26.51666667,2023-02-13 12:09,2023-02-13 12:36
Work,26.86666667,2023-02-13 11:32,2023-02-13 11:59
Work,34.91666667,2023-02-10 15:44,2023-02-10 16:19
Work,24.58333333,2023-02-10 14:35,2023-02-10 15:00
Work,33.73333333,2023-02-10 11:22,2023-02-10 12:01
Work,42.46666667,2023-02-10 10:30,2023-02-10 11:13
Work,28.66666667,2023-02-10 09:55,2023-02-10 10:23
Work,40.5,2023-02-09 19:32,2023-02-09 20:12
Work,28.66666667,2023-02-09 18:53,2023-02-09 19:21
Work,14.38333333,2023-02-09 18:04,2023-02-09 18:18
Work,15.38333333,2023-02-09 17:40,2023-02-09 17:56
Work,28.46666667,2023-02-09 16:56,2023-02-09 17:25
Work,26.31666667,2023-02-09 16:18,2023-02-09 16:44
Work,7.55,2023-02-09 15:04,2023-02-09 15:11
Work,38.88333333,2023-02-09 13:35,2023-02-09 14:14
Work,25.75,2023-02-09 12:36,2023-02-09 13:02
Work,22,2023-02-09 10:08,2023-02-09 10:30
Work,14.68333333,2023-02-08 16:38,2023-02-08 16:52
Work,32.1,2023-02-08 16:00,2023-02-08 16:32
Work,26.01666667,2023-02-08 15:24,2023-02-08 15:50
Work,36.9,2023-02-08 13:55,2023-02-08 14:32
Work,25.43333333,2023-02-08 13:09,2023-02-08 13:35
Work,33.96666667,2023-02-08 10:12,2023-02-08 10:46
Learning,32.58333333,2023-02-07 17:44,2023-02-07 18:17
Work,25.35,2023-02-07 16:39,2023-02-07 17:04
Work,30.55,2023-02-07 16:00,2023-02-07 16:30
Work,26.16666667,2023-02-07 15:18,2023-02-07 15:44
Work,29.06666667,2023-02-07 14:39,2023-02-07 15:08
Work,49.53333333,2023-02-07 12:28,2023-02-07 13:18
Work,28.43333333,2023-02-07 11:32,2023-02-07 12:01
Work,30.4,2023-02-06 17:10,2023-02-06 17:40
Work,35.18333333,2023-02-06 16:11,2023-02-06 16:46
Work,31.11666667,2023-02-06 15:29,2023-02-06 16:00
Work,26.61666667,2023-02-06 14:45,2023-02-06 15:12
Work,25.9,2023-02-06 13:45,2023-02-06 14:11
Work,31.43333333,2023-02-06 12:57,2023-02-06 13:29
Work,31.06666667,2023-02-06 11:14,2023-02-06 11:45
Work,30.2,2023-02-06 09:54,2023-02-06 10:30
Work,19.56666667,2023-02-06 08:59,2023-02-06 09:19
Work,43.63333333,2023-02-03 15:22,2023-02-03 16:11
Work,38.3,2023-02-03 14:03,2023-02-03 14:41
Work,22.08333333,2023-02-03 11:40,2023-02-03 12:02
Work,27.11666667,2023-02-03 10:58,2023-02-03 11:25
Work,17.98333333,2023-02-03 10:16,2023-02-03 10:34
Work,34.76666667,2023-02-02 16:02,2023-02-02 16:37
Work,28.61666667,2023-02-02 14:32,2023-02-02 15:00
Work,30.53333333,2023-02-02 13:40,2023-02-02 14:11
Work,29.26666667,2023-02-02 12:54,2023-02-02 13:24
Work,44.28333333,2023-02-01 17:34,2023-02-01 18:18
Work,42.55,2023-02-01 16:16,2023-02-01 16:58
Work,30.85,2023-02-01 15:37,2023-02-01 16:08
Work,31.8,2023-02-01 15:00,2023-02-01 15:32
Work,52.4,2023-02-01 12:58,2023-02-01 13:50
Work,30.3,2023-02-01 11:54,2023-02-01 12:24
Work,25.13333333,2023-02-01 10:21,2023-02-01 10:46
Work,35.93333333,2023-01-31 17:54,2023-01-31 18:30
Work,27.63333333,2023-01-31 17:19,2023-01-31 17:46
Work,28.05,2023-01-31 16:24,2023-01-31 16:52
Work,25.73333333,2023-01-31 15:27,2023-01-31 15:53
Work,21.96666667,2023-01-31 12:29,2023-01-31 12:51
Work,26.13333333,2023-01-31 11:17,2023-01-31 11:44
Work,27.9,2023-01-31 10:40,2023-01-31 11:08
Work,33.7,2023-01-30 16:25,2023-01-30 16:58
Work,27.91666667,2023-01-30 15:31,2023-01-30 15:59
Work,33.33333333,2023-01-30 13:52,2023-01-30 14:26
Work,28.41666667,2023-01-30 12:08,2023-01-30 12:36
Work,29.5,2023-01-30 11:17,2023-01-30 11:47
Work,12.45,2023-01-30 10:19,2023-01-30 10:32
Work,4.25,2023-01-30 09:15,2023-01-30 09:19
Work,28.36666667,2023-01-27 16:02,2023-01-27 16:31
Work,28.8,2023-01-27 11:29,2023-01-27 11:58
Work,25.53333333,2023-01-27 10:52,2023-01-27 11:18
Work,30.36666667,2023-01-26 18:50,2023-01-26 19:21
Work,25.36666667,2023-01-26 18:09,2023-01-26 18:35
Work,29.85,2023-01-26 17:15,2023-01-26 17:45
Work,27.35,2023-01-26 16:20,2023-01-26 16:48
Work,29.28333333,2023-01-26 13:58,2023-01-26 14:27
Work,13.08333333,2023-01-26 09:05,2023-01-26 09:18
Work,26.33333333,2023-01-25 16:58,2023-01-25 17:25
Work,27.28333333,2023-01-25 13:33,2023-01-25 14:00
Work,26.21666667,2023-01-25 12:58,2023-01-25 13:25
Learning,25,2023-01-25 10:14,2023-01-25 10:39
Work,53.86666667,2023-01-24 19:15,2023-01-24 20:09
Work,24.73333333,2023-01-24 18:20,2023-01-24 18:45
Work,31.98333333,2023-01-24 16:15,2023-01-24 16:47
Learning,127.45,2023-01-23 19:04,2023-01-23 21:12
Work,32.93333333,2023-01-23 16:32,2023-01-23 17:05
Work,24.81666667,2023-01-23 15:42,2023-01-23 16:07
Work,29.25,2023-01-23 14:59,2023-01-23 15:28
Work,25.63333333,2023-01-23 14:20,2023-01-23 14:45
Work,27.7,2023-01-23 13:12,2023-01-23 13:40
Learning,36.63333333,2023-01-23 11:33,2023-01-23 12:10
Learning,30.81666667,2023-01-22 16:32,2023-01-22 17:02
Learning,37.2,2023-01-22 15:23,2023-01-22 16:00
Learning,25.43333333,2023-01-22 14:42,2023-01-22 15:07
Learning,47.11666667,2023-01-22 13:40,2023-01-22 14:27
Learning,56.8,2023-01-22 11:22,2023-01-22 12:19
Learning,96.76666667,2023-01-21 23:13,2023-01-22 00:50
Work,29.86666667,2023-01-20 14:53,2023-01-20 15:22
Work,34,2023-01-20 14:05,2023-01-20 14:39
Work,18.71666667,2023-01-20 11:37,2023-01-20 11:56
Work,21.7,2023-01-20 10:37,2023-01-20 10:59
Work,31.21666667,2023-01-20 10:00,2023-01-20 10:31
Work,10.01666667,2023-01-20 09:11,2023-01-20 09:21
Work,31.35,2023-01-19 19:09,2023-01-19 19:40
Work,23.68333333,2023-01-19 17:23,2023-01-19 17:47
Work,24.15,2023-01-19 13:44,2023-01-19 14:08
Work,19.98333333,2023-01-19 13:06,2023-01-19 13:26
Work,35.83333333,2023-01-18 16:26,2023-01-18 17:02
Work,26.56666667,2023-01-18 15:52,2023-01-18 16:19
